name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
'Huayan' Fleet Banquet Suite,KE_UE_Delicacy_Feast,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_UE_Delicacy_Feast,"Zenith Era's highest-tier fleet catering package, built around formal banquet logistics, luxury mess services, and morale systems that make long deployments feel less like punishment.",Elite fleetwide catering package,,graphics/hullmods/KE_UE_Delicacy_BasicMeal.png
'Huayan' Banquet Effect,KE_UE_Delicacy_Feast_H,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,TRUE,0,0,0,0,data.hullmods.KE_UE_DelicacyBuff.KE_UE_Delicacy_Feast_H,Hidden effect marker for ships receiving Huayan-tier fleet catering benefits.,Huayan catering effect,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Jing Cuisine' Fine Dining Suite,KE_UE_Delicacy_FineMeal,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_UE_Delicacy_FineMeal,"A refined fleet catering package that improves crew endurance through premium meals, disciplined service routines, and cleaner shipboard morale management.",Refined fleetwide catering package,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Jing Cuisine' Dining Effect,KE_UE_Delicacy_FineMeal_H,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,TRUE,0,0,0,0,data.hullmods.KE_UE_DelicacyBuff.KE_UE_Delicacy_FineMeal_H,Hidden effect marker for ships receiving Jing Cuisine fleet catering benefits.,Fine dining effect,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Chanshan' Galley Suite,KE_UE_Delicacy_StandardMeal,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_UE_Delicacy_StandardMeal,"A practical Zenith galley package that standardizes fleet meals, crew rotation support, and small comfort routines across an active deployment.",Standard fleetwide catering package,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Chanshan' Galley Effect,KE_UE_Delicacy_StandardMeal_H,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,TRUE,0,0,0,0,data.hullmods.KE_UE_DelicacyBuff.KE_UE_Delicacy_StandardMeal_H,Hidden effect marker for ships receiving Chanshan fleet catering benefits.,Galley catering effect,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Coarse Food' Mess Suite,KE_UE_Delicacy_BasicMeal,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_UE_Delicacy_BasicMeal,"A basic but reliable fleet mess package that keeps crews fed, organized, and just comfortable enough to stay useful during extended operations.",Basic fleetwide catering package,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Coarse Food' Mess Effect,KE_UE_Delicacy_BasicMeal_H,,,Zenith - Cuisine Design,special,Base,0,TRUE,TRUE,TRUE,0,0,0,0,data.hullmods.KE_UE_DelicacyBuff.KE_UE_Delicacy_BasicMeal_H,Hidden effect marker for ships receiving basic fleet catering benefits.,Basic mess effect,,graphics/hullmods/KE_UE_Delicacy_Destoryer.png
'Resonance' Common Navigation Core,KE_UE_HarmonicResonanceCore,,,Zenith - Interstellar Design,special,Base,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_UE_HarmonicResonanceCore,"A Zenith navigation core that links fleet drive telemetry through a shared resonance model, reducing fuel waste across long voyages.",Fleet fuel-use support core,,graphics/hullmods/KE_UE_HarmonicResonanceCore.png
Zenith Hospitality Suite,KE_UE_LuxuryMod,,,Zenith - Luxury Design,special,income,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_UE_LuxuryMod,"A luxury service package that turns spare shipboard space into entertainment, officer comfort, cleaner berthing, and onboard maintenance support.",Ship-local hospitality support suite,,graphics/hullmods/KE_UE_HarmonicResonanceCore.png
'Starshine' Aviation Dispatch,KE_TA_StarAviation,,,Flicker - Carrier Design,special,"fighter, special",0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_TA_StarAviationStats,"Flicker Aviation's flagship carrier dispatch suite, expanding wing persistence through quantum links, automated launch control, and aggressive deck cycling.",Advanced fighter dispatch suite,,graphics/hullmods/KE_TA_StarAviation.png
Night Star Command Net,KE_TA_NSAirControl,,,Flicker - Carrier Design,special,"fighter, attack",0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_TA_NSAirControl,"A layered fighter command network that improves range, handling, and strike timing for wings operating from the Night Star platform.",Fighter coordination command net,,graphics/hullmods/KE_TA_StarAviation.png
Borealis Flight Control,KE_TA_AAirControl,,,Flicker - Carrier Design,special,"fighter, attack",0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_TA_AAirControl,A Borealis-pattern flight control suite that increases simultaneous fighter deployment through reinforced deck control and secondary launch coordination.,Expanded fighter deployment control,,graphics/hullmods/KE_TA_StarAviation.png
Amagi Flight Control,KE_TA_HFAirControl,,,Flicker - Carrier Design,special,"fighter, attack",0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_TA_HFAirControl,An Amagi-pattern dispatch suite that accelerates fighter replacement while extending command range for carrier strike operations.,Long-range fighter dispatch control,,graphics/hullmods/KE_TA_StarAviation.png
Biological Synergy System,KE_TA_BioAssistant,,,Exodyne Biotechnology,special,fighter,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_TA_BioAssistant,An Exodyne-linked biological control package that lets ship systems push compatible bionic craft into dangerous short-duration performance states.,Bionic strikecraft synergy system,,graphics/hullmods/KE_UE_HarmonicResonanceCore.png
Bionic Combat Assistant,KE_TA_BionicAssistant,,,Flicker - Strikecraft Design,special,fighter,0,TRUE,TRUE,,0,0,0,0,data.hullmods.KE_TA_BionicAssistant,"A sanitized combat-assist package derived from Exodyne work, improving strikecraft control without requiring crews to ask too many questions about its ancestry.",Bionic strikecraft control assist,,graphics/hullmods/KE_UE_HarmonicResonanceCore.png
