id,type,text1,text2,text3,text4,notes
KE_UE_Romantic,SHIP,"The Romantic-class cruiser is Zenith Era at its most shamelessly luxurious: a deep-space venue for noble weddings, diplomatic retreats, and very expensive mistakes. Reinforced crystal galleries, ecological gardens, holographic theaters, and a bow-mounted stargazing dome turn the hull into a moving resort. It is almost unarmed, but its quiet drive, defensive routing systems, and discreet synthetic staff make it safer than most civilian liners. In elite circles, booking a Romantic is less transportation than a public declaration that one has already arrived.",,,,
KE_TA_Moonlight,SHIP,"The Moonlight-class battlecarrier began as a Tianyuan-Utopia commission before corporate infighting scattered the blueprints across the Sector. Flicker Aviation refined the leaked design into a carrier built around a full-length central hangar and the Starshine aviation dispatch system. Its fighter capacity is extravagant, its weapons grid is generous, and its flux reserves are strong enough to fight while surrounded. The price is just as extravagant; only a handful of Moonlights are believed to be in active service.",,,,
KE_EW_Guard,SHIP,"The Warder-class frigate is Monolith Ordnance Group's budget answer to fast enemy escorts. Developed from Sentinel studies for Persean League buyers, it suffered from shifting funding and a committee that wanted everything until the bill arrived. The final hull is a compromise, with simplified internals and a modest flux grid, but it is cheap, sturdy, and good enough to satisfy most League-aligned security contracts.",,,,
KE_EW_Guard_XIV,SHIP,"The Hegemony dismissed the Warder in public and stole the plans in private, which is how most sincere compliments arrive in naval procurement. Billai Space Group adapted the hull with heavier armor, revised weapon mounts, and a cleaner flux grid before passing it into XIV-aligned service. The result is still cheap by Hegemony standards, but considerably less forgiving to anyone who treats it like a discount frigate.",,,,
KE_EW_Pathfinder,SHIP,"The Wayfinder-class frigate was commissioned by Prospector, a technology-mining concern that liked the Apex-class concept but not its price. The resulting hull keeps the exploration gear that matters, trims the luxuries that do not, and carries enough weapons to discourage opportunists in remote systems. It is not glamorous work, but many fortunes begin with a ship like this arriving first.",,,,
KE_EW_Acolyte,SHIP,"The Acolyte is a captured Pathbreaker design rebuilt for Luddic Path doctrine. Its original systems were stripped as blasphemous, then replaced with heavier armor and a crude Glory-drive conversion. When the result proved unstable, Monolith Ordnance Group was contracted to install a bionic automation core that made the hull controllable again. The original owners considered retaliation until the first Acolytes appeared under Luddic Church colors.",,,,
KE_EW_Pioneer,SHIP,"The Pathbreaker-class began as a Valkyrie Mercenary Group prestige contract. Monolith Ordnance Group studied Expedition-class data, then produced a compact warship with efficient internals, strong forward firepower, and auxiliary thrust for aggressive pursuit. The design became a symbol of Valkyrie confidence until a brutal clash with the Luddic Path left both sides mauled and the Pathbreaker blueprints missing.",,,,
KE_EW_Archer,SHIP,"The Arbalest-class was commissioned by the Hegemony as a focused answer to agile frigate threats. Monolith Ordnance Group stripped away anything not needed for missile warfare, routing the saved mass into loaders, magazines, and a flux grid just strong enough to keep the ship alive. The result is not elegant, but it can keep a small battle under missile pressure long after similar frigates have gone dry.",,,,
KE_EW_Shield,SHIP,"The Bastion is the smallest hull in Monolith Ordnance Group's Dominion series, built to prove that the line's heavy armor and forward firepower could survive miniaturization. The experiment worked, mostly. Its flux grid is cramped and its handling is blunt, but in close escort actions the ship can absorb punishment that would scatter most frigates. Hegemony crews, never subtle, call it the Dominator's grandson.",,,,
KE_EW_Crius,SHIP,"The Crius-class is Monolith Ordnance Group's attempt to meet Tri-Tachyon halfway between affordable production and Hyperion envy. Tri-Tachyon supplied open technical packages and demanded a ship able to exploit a temporal-shell system without tearing its own grid apart. The finished frigate is not a true peer to the Hyperion, but it is fast, dangerous, and politically convenient enough for Tri-Tachyon procurement officers to call the project a success.",,,,
